Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	42	7508434	0.559370968699998
1-4 years	F	2001	26	7468536	0.348127129600768
1-4 years	F	2002	37	7564711	0.489113199433528
1-4 years	F	2003	34	7636693	0.445218892523243
1-4 years	F	2004	30	7713175	0.38894488975033
1-4 years	F	2005	33	7785123	0.423885402966658
1-4 years	M	2000	40	7861716	0.508794772031958
1-4 years	M	2001	47	7817023	0.601251908814903
1-4 years	M	2002	40	7913020	0.505496005317818
1-4 years	M	2003	39	7979882	0.488729031331541
1-4 years	M	2004	38	8058452	0.471554586414363
1-4 years	M	2005	43	8127884	0.529042983389035
10-14 years	F	2000	23	10007875	0.2298190175237
10-14 years	F	2001	18	10231469	0.17592781642597
10-14 years	F	2002	16	10371422	0.154270070198667
10-14 years	F	2003	26	10444875	0.248925908639404
10-14 years	F	2004	20	10443706	0.191502901364707
10-14 years	F	2005	12	10348382	0.11596015686317
10-14 years	M	2000	23	10520197	0.218627084644898
10-14 years	M	2001	29	10747209	0.269837499205608
10-14 years	M	2002	24	10889999	0.220385695168567
10-14 years	M	2003	34	10970478	0.309922685228483
10-14 years	M	2004	24	10967974	0.218818899461286
10-14 years	M	2005	21	10864197	0.193295463990574
15-19 years	F	2000	32	9828886	0.325570975184777
15-19 years	F	2001	35	9908897	0.353217921227761
15-19 years	F	2002	28	9981879	0.280508309106933
15-19 years	F	2003	28	10086567	0.277596926684768
15-19 years	F	2004	36	10242793	0.351466636102087
15-19 years	F	2005	32	10434789	0.306666478833448
15-19 years	M	2000	29	10391004	0.279087564589524
15-19 years	M	2001	37	10547387	0.350797785271366
15-19 years	M	2002	44	10628491	0.413981627307207
15-19 years	M	2003	32	10710599	0.298769471249927
15-19 years	M	2004	46	10859759	0.423582143949972
15-19 years	M	2005	35	11051425	0.316701239885354
20-24 years	F	2000	46	9276187	0.495893409652048
20-24 years	F	2001	44	9676950	0.454688719069542
20-24 years	F	2002	48	9916245	0.48405419591791
20-24 years	F	2003	55	10093723	0.544893098413737
20-24 years	F	2004	49	10190641	0.480833345027069
20-24 years	F	2005	53	10222806	0.518448652943233
20-24 years	M	2000	48	9687814	0.495467811417519
20-24 years	M	2001	52	10080336	0.515855820678993
20-24 years	M	2002	63	10327520	0.61002060514044
20-24 years	M	2003	59	10497965	0.562013685509525
20-24 years	M	2004	57	10654919	0.534964179455517
20-24 years	M	2005	54	10737149	0.502926801146189
25-29 years	F	2000	59	9582576	0.615700830340401
25-29 years	F	2001	46	9303113	0.494458145354141
25-29 years	F	2002	52	9248586	0.56224811014354
25-29 years	F	2003	66	9307104	0.709135731157619
25-29 years	F	2004	73	9479080	0.770116931178975
25-29 years	F	2005	61	9712544	0.628053782819414
25-29 years	M	2000	60	9798760	0.612322375484245
25-29 years	M	2001	66	9516234	0.693551671806305
25-29 years	M	2002	84	9442754	0.889570987447094
25-29 years	M	2003	54	9464481	0.570554264940677
25-29 years	M	2004	72	9627975	0.747820803439976
25-29 years	M	2005	70	9822166	0.712673762589637
30-34 years	F	2000	99	10188619	0.971672412129652
30-34 years	F	2001	98	10263930	0.954799964536001
30-34 years	F	2002	86	10270193	0.8373747211956
30-34 years	F	2003	93	10193818	0.912317641927686
30-34 years	F	2004	75	10041145	0.746926769805635
