Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	4	7508434	0.053273425590476
1-4 years	F	2001	6	7468536	0.0803370299078695
1-4 years	F	2002	5	7564711	0.0660963783018281
1-4 years	F	2004	8	7713175	0.103718637266755
1-4 years	F	2005	5	7785123	0.0642250610555543
1-4 years	M	2000	7	7861716	0.0890390851055927
1-4 years	M	2001	1	7817023	0.0127925938045724
1-4 years	M	2002	2	7913020	0.0252748002658909
1-4 years	M	2003	4	7979882	0.0501260544955427
1-4 years	M	2004	3	8058452	0.0372279936642919
1-4 years	M	2005	7	8127884	0.0861232763656568
10-14 years	F	2001	6	10231469	0.0586426054753232
10-14 years	F	2002	2	10371422	0.0192837587748334
10-14 years	M	2002	8	10889999	0.0734618983895223
10-14 years	M	2003	3	10970478	0.0273461192848662
10-14 years	M	2005	2	10864197	0.0184090918086261
15-19 years	M	2000	5	10391004	0.0481185456188834
20-24 years	F	2005	8	10222806	0.0782564004442616
20-24 years	M	2000	2	9687814	0.0206444921423966
20-24 years	M	2003	1	10497965	0.00952565568660212
25-29 years	F	2001	4	9303113	0.0429963604655775
25-29 years	F	2002	6	9248586	0.0648747819396392
25-29 years	M	2002	5	9442754	0.052950654014708
25-29 years	M	2005	9	9822166	0.0916294837615247
30-34 years	F	2001	7	10263930	0.0681999974668572
30-34 years	F	2005	6	9835154	0.0610056538006421
30-34 years	M	2000	7	10321769	0.0678178323890023
30-34 years	M	2001	5	10388245	0.0481313253586145
30-34 years	M	2002	2	10388113	0.0192527747820995
30-34 years	M	2003	4	10278392	0.0389165931791665
30-34 years	M	2005	1	9888783	0.0101124678335039
35-39 years	F	2000	3	11387968	0.0263435935190545
35-39 years	F	2001	6	11141510	0.0538526644952076
35-39 years	F	2002	4	10903446	0.0366856496560812
35-39 years	M	2000	6	11318696	0.0530096399797291
35-39 years	M	2001	9	11094408	0.081121949003498
35-39 years	M	2002	6	10847772	0.0553108970210657
35-39 years	M	2004	8	10421329	0.0767656409273712
35-39 years	M	2005	8	10387033	0.0770191064185509
40-44 years	F	2002	7	11536009	0.060679564310326
40-44 years	F	2003	8	11546602	0.0692844526900641
40-44 years	F	2004	2	11562414	0.0172974259527465
40-44 years	F	2005	6	11453723	0.0523847136865454
40-44 years	M	2000	7	11129102	0.0628981565628565
40-44 years	M	2001	3	11314915	0.0265136768592605
40-44 years	M	2002	7	11353422	0.0616554198372966
40-44 years	M	2003	6	11343445	0.0528939841467914
40-44 years	M	2004	1	11363212	0.00880032863947271
40-44 years	M	2005	7	11253162	0.0622047385437089
45-49 years	F	2000	2	10202898	0.01960227378535
45-49 years	F	2002	3	10785791	0.0278143717044026
45-49 years	F	2003	9	11017265	0.0816899657038294
45-49 years	F	2004	7	11184506	0.062586581830257
45-49 years	F	2005	9	11357088	0.0792456657903857
45-49 years	M	2000	2	9889506	0.0202234570665107
45-49 years	M	2001	5	10193034	0.0490531082305818
45-49 years	M	2002	3	10466497	0.0286628850130086
45-49 years	M	2003	1	10705411	0.00934107060438875
45-49 years	M	2004	9	10880756	0.0827148407702553
45-49 years	M	2005	4	11060083	0.0361660938710858
5-9 years	F	2000	3	10026228	0.0299215218325376
5-9 years	F	2001	7	9844298	0.0711071525872134
50-54 years	F	2001	3	9541132	0.0314428099307294
50-54 years	F	2003	5	9759654	0.0512313243891638
50-54 years	F	2004	6	9999623	0.0600022620852806
50-54 years	F	2005	9	10257441	0.0877411822305388
50-54 years	M	2000	7	8607724	0.0813223100554804
50-54 years	M	2002	3	9168094	0.0327221775867481
50-54 years	M	2003	9	9337624	0.0963842622063172
50-54 years	M	2004	3	9565045	0.0313642016320885
50-54 years	M	2005	2	9821292	0.0203639195331938
55-59 years	F	2001	8	7209396	0.110966300089494
55-59 years	F	2002	6	7801990	0.0769034566822054
55-59 years	F	2003	4	8141956	0.0491282438765329
55-59 years	F	2004	8	8547949	0.093589702044315
55-59 years	M	2000	1	6508729	0.0153639827376436
55-59 years	M	2001	1	6759579	0.0147938207394277
55-59 years	M	2002	8	7341077	0.108975835562003
55-59 years	M	2004	5	8059227	0.0620406895102967
55-59 years	M	2005	3	8495361	0.035313390449211
60-64 years	F	2000	5	5668820	0.088201777442219
60-64 years	F	2001	3	5834170	0.0514211961598651
60-64 years	F	2002	8	6051668	0.132194958480868
60-64 years	F	2003	3	6377463	0.0470406492362245
60-64 years	F	2004	8	6637798	0.120521895966102
60-64 years	M	2000	9	5136627	0.175212255045967
60-64 years	M	2001	5	5302150	0.0943013683128542
60-64 years	M	2002	7	5508597	0.12707409890395
60-64 years	M	2003	2	5816925	0.034382427141488
60-64 years	M	2004	6	6060330	0.0990045096554148
60-64 years	M	2005	5	6277726	0.0796466746079711
65-69 years	F	2001	1	5134618	0.0194756455105326
65-69 years	F	2002	8	5163814	0.154924247852459
65-69 years	F	2003	1	5253706	0.0190341827273928
65-69 years	F	2004	5	5370418	0.0931026225519131
65-69 years	F	2005	7	5469500	0.1279824481214
65-69 years	M	2000	3	4400362	0.0681762091391572
65-69 years	M	2001	2	4427615	0.0451710458113454
65-69 years	M	2002	8	4474667	0.17878425366625
65-69 years	M	2004	3	4703011	0.0637889216078806
65-69 years	M	2005	4	4809127	0.0831751791957251
70-74 years	F	2000	7	4954529	0.141284872891046
70-74 years	F	2001	9	4908508	0.183355105054326
70-74 years	F	2002	9	4852844	0.185458259115686
70-74 years	F	2003	5	4794496	0.104286248231305
70-74 years	F	2004	7	4739945	0.147681038493063
70-74 years	F	2005	3	4729069	0.0634374334567755
70-74 years	M	2000	8	3902912	0.20497515701097
70-74 years	M	2001	6	3913438	0.153317875484421
70-74 years	M	2002	2	3897210	0.0513187639362518
70-74 years	M	2003	8	3875623	0.206418426147228
70-74 years	M	2004	2	3854159	0.0518919951148876
70-74 years	M	2005	4	3874001	0.103252425593075
75-79 years	F	2000	8	4371357	0.183009532280251
75-79 years	F	2001	5	4378159	0.11420325301114
75-79 years	F	2002	9	4368692	0.206011318719653
75-79 years	F	2003	7	4365982	0.160330482351966
75-79 years	F	2004	9	4321319	0.208269743566721
75-79 years	F	2005	9	4299256	0.209338546018195
75-79 years	M	2000	1	3044456	0.0328465906552763
75-79 years	M	2001	8	3077254	0.259972040007097
75-79 years	M	2002	8	3101769	0.257917336848747
75-79 years	M	2003	9	3131860	0.287369167204153
75-79 years	M	2004	3	3140080	0.0955389671600723
75-79 years	M	2005	7	3164353	0.221214257701337
80-84 years	F	2000	7	3110470	0.22504637562812
80-84 years	F	2001	4	3211574	0.124549519955013
80-84 years	F	2002	6	3295412	0.182071316120716
80-84 years	F	2003	4	3347175	0.119503760633967
80-84 years	F	2004	8	3417423	0.234094520929952
80-84 years	F	2005	7	3454579	0.202629611307195
80-84 years	M	2000	6	1834897	0.326993831261373
80-84 years	M	2001	1	1926631	0.0519040750408355
80-84 years	M	2002	5	1998991	0.25012618866218
80-84 years	M	2003	2	2051421	0.0974933960410857
80-84 years	M	2004	3	2111081	0.142107290056611
80-84 years	M	2005	9	2156614	0.417320855748873
< 1 year	F	2000	5	1856631	0.269304993830223
< 1 year	F	2001	9	1962905	0.458504104885361
< 1 year	F	2003	5	1942634	0.257382502313869
< 1 year	F	2004	7	1962216	0.356739523069835
< 1 year	F	2005	2	1956682	0.102213849772216
< 1 year	M	2000	1	1949017	0.0513079157339315
< 1 year	M	2001	1	2049753	0.0487863659670214
< 1 year	M	2002	1	2018522	0.0495411989564642
< 1 year	M	2003	1	2033237	0.0491826579980593
< 1 year	M	2004	1	2052042	0.0487319460322937
< 1 year	M	2005	3	2047711	0.146505048808157
