Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	102	7508434	1.35847235255714
1-4 years	F	2001	98	7468536	1.3121714884952
1-4 years	F	2002	71	7564711	0.938568571885958
1-4 years	F	2003	82	7636693	1.07376321137959
1-4 years	F	2004	93	7713175	1.20572915822602
1-4 years	F	2005	78	7785123	1.00191095246665
1-4 years	M	2000	120	7861716	1.52638431609588
1-4 years	M	2001	127	7817023	1.6246594131807
1-4 years	M	2002	99	7913020	1.2511026131616
1-4 years	M	2003	115	7979882	1.44112406674685
1-4 years	M	2004	94	8058452	1.16647713481448
1-4 years	M	2005	102	8127884	1.25493916989957
10-14 years	F	2000	50	10007875	0.499606559834131
10-14 years	F	2001	49	10231469	0.478914611381806
10-14 years	F	2002	66	10371422	0.636364039569502
10-14 years	F	2003	48	10444875	0.459555523641978
10-14 years	F	2004	41	10443706	0.39258094779765
10-14 years	F	2005	44	10348382	0.425187241831622
10-14 years	M	2000	48	10520197	0.456265220128482
10-14 years	M	2001	61	10747209	0.567589222466968
10-14 years	M	2002	69	10889999	0.63360887360963
10-14 years	M	2003	48	10970478	0.437537908557859
10-14 years	M	2004	40	10967974	0.36469816576881
10-14 years	M	2005	54	10864197	0.497045478832904
15-19 years	F	2000	64	9828886	0.651141950369554
15-19 years	F	2001	91	9908897	0.918366595192179
15-19 years	F	2002	89	9981879	0.891615696804179
15-19 years	F	2003	75	10086567	0.743563196477057
15-19 years	F	2004	69	10242793	0.673644385862333
15-19 years	F	2005	82	10434789	0.785832852010711
15-19 years	M	2000	96	10391004	0.923876075882561
15-19 years	M	2001	106	10547387	1.00498824969635
15-19 years	M	2002	78	10628491	0.733876521135503
15-19 years	M	2003	92	10710599	0.858962229843541
15-19 years	M	2004	73	10859759	0.672206445833651
15-19 years	M	2005	82	11051425	0.741985762017116
20-24 years	F	2000	132	9276187	1.42299847987109
20-24 years	F	2001	163	9676950	1.68441502746217
20-24 years	F	2002	135	9916245	1.36140242601912
20-24 years	F	2003	153	10093723	1.51579352831458
20-24 years	F	2004	136	10190641	1.33455785558534
20-24 years	F	2005	129	10222806	1.26188445716372
20-24 years	M	2000	171	9687814	1.76510407817491
20-24 years	M	2001	171	10080336	1.69637202569438
20-24 years	M	2002	165	10327520	1.59767301346306
20-24 years	M	2003	167	10497965	1.59078449966255
20-24 years	M	2004	196	10654919	1.83952595040845
20-24 years	M	2005	167	10737149	1.55534769984099
25-29 years	F	2000	367	9582576	3.82986787686317
25-29 years	F	2001	322	9303113	3.46120701747899
25-29 years	F	2002	324	9248586	3.50323822474052
25-29 years	F	2003	280	9307104	3.00845461703232
25-29 years	F	2004	297	9479080	3.13321545972816
25-29 years	F	2005	261	9712544	2.68724651337487
25-29 years	M	2000	483	9798760	4.92919512264817
25-29 years	M	2001	453	9516234	4.76028647467055
25-29 years	M	2002	422	9442754	4.46903519884135
25-29 years	M	2003	379	9464481	4.00444567430586
25-29 years	M	2004	356	9627975	3.69755841700877
25-29 years	M	2005	378	9822166	3.84843831798404
30-34 years	F	2000	704	10188619	6.9096704862553
30-34 years	F	2001	615	10263930	5.99185692030246
30-34 years	F	2002	598	10270193	5.82267538691824
30-34 years	F	2003	512	10193818	5.02265196416102
30-34 years	F	2004	525	10041145	5.22848738863944
30-34 years	F	2005	500	9835154	5.08380448338684
30-34 years	M	2000	1423	10321769	13.7863964985072
30-34 years	M	2001	1255	10388245	12.0809626650122
30-34 years	M	2002	1112	10388113	10.7045427788473
30-34 years	M	2003	969	10278392	9.4275446976531
30-34 years	M	2004	869	10118356	8.58835170456545
30-34 years	M	2005	729	9888783	7.37198905062433
35-39 years	F	2000	1021	11387968	8.96560299431821
35-39 years	F	2001	990	11141510	8.88568964170925
35-39 years	F	2002	974	10903446	8.93295569125577
35-39 years	F	2003	960	10660101	9.00554319325868
35-39 years	F	2004	863	10453320	8.25575032621215
35-39 years	F	2005	772	10411620	7.41479231858251
35-39 years	M	2000	2611	11318696	23.0680283311788
35-39 years	M	2001	2461	11094408	22.1823462775121
35-39 years	M	2002	2369	10847772	21.8385858404841
35-39 years	M	2003	2116	10604058	19.954624918121
35-39 years	M	2004	1774	10421329	17.0227808756446
35-39 years	M	2005	1536	10387033	14.7876684323618
40-44 years	F	2000	1279	11312761	11.3058165022668
40-44 years	F	2001	1308	11500919	11.3730041920998
40-44 years	F	2002	1363	11536009	11.8151780221392
40-44 years	F	2003	1336	11546602	11.5705035992407
40-44 years	F	2004	1331	11562414	11.5114369715528
40-44 years	F	2005	1193	11453723	10.4158272380081
40-44 years	M	2000	3090	11129102	27.7650433970324
40-44 years	M	2001	3175	11314915	28.0603080093841
40-44 years	M	2002	3135	11353422	27.6128201699893
40-44 years	M	2003	3015	11343445	26.5792270337627
40-44 years	M	2004	2856	11363212	25.1337385943341
40-44 years	M	2005	2700	11253162	23.9932562954306
45-49 years	F	2000	1272	10202898	12.4670461274826
45-49 years	F	2001	1350	10505949	12.8498624921937
